geoName,sport
Alabama,66
Alaska,78
Arizona,71
Arkansas,67
California,89
Colorado,85
Connecticut,86
Delaware,75
District of Columbia,88
Florida,91
Georgia,71
Hawaii,80
Idaho,71
Illinois,77
Indiana,71
Iowa,72
Kansas,100
Kentucky,69
Louisiana,65
Maine,76
Maryland,85
Massachusetts,78
Michigan,68
Minnesota,79
Mississippi,67
Missouri,65
Montana,66
Nebraska,73
Nevada,87
New Hampshire,79
New Jersey,88
New Mexico,66
New York,83
North Carolina,75
North Dakota,76
Ohio,68
Oklahoma,75
Oregon,82
Pennsylvania,77
Rhode Island,79
South Carolina,71
South Dakota,76
Tennessee,69
Texas,76
Utah,73
Vermont,82
Virginia,99
Washington,79
West Virginia,71
Wisconsin,75
Wyoming,64
