date,sport,isPartial
2012-01-01,71,False
2012-01-08,73,False
2012-01-15,73,False
2012-01-22,72,False
2012-01-29,76,False
2012-02-05,76,False
2012-02-12,74,False
2012-02-19,77,False
2012-02-26,75,False
2012-03-04,75,False
2012-03-11,78,False
2012-03-18,78,False
2012-03-25,79,False
2012-04-01,78,False
2012-04-08,79,False
2012-04-15,79,False
2012-04-22,80,False
2012-04-29,80,False
2012-05-06,79,False
2012-05-13,81,False
2012-05-20,81,False
2012-05-27,83,False
2012-06-03,83,False
2012-06-10,87,False
2012-06-17,83,False
2012-06-24,80,False
2012-07-01,81,False
2012-07-08,79,False
2012-07-15,75,False
2012-07-22,86,False
2012-07-29,100,False
2012-08-05,94,False
2012-08-12,82,False
2012-08-19,80,False
2012-08-26,82,False
2012-09-02,80,False
2012-09-09,79,False
2012-09-16,74,False
2012-09-23,75,False
2012-09-30,76,False
2012-10-07,73,False
2012-10-14,70,False
2012-10-21,70,False
2012-10-28,67,False
2012-11-04,68,False
2012-11-11,73,False
2012-11-18,73,False
2012-11-25,75,False
2012-12-02,74,False
2012-12-09,75,False
2012-12-16,73,False
2012-12-23,72,False
2012-12-30,75,False
