geoName,sport
Alabama,56
Alaska,65
Arizona,58
Arkansas,57
California,76
Colorado,68
Connecticut,76
Delaware,62
District of Columbia,76
Florida,74
Georgia,61
Hawaii,68
Idaho,57
Illinois,66
Indiana,58
Iowa,58
Kansas,61
Kentucky,57
Louisiana,56
Maine,69
Maryland,74
Massachusetts,66
Michigan,62
Minnesota,68
Mississippi,59
Missouri,60
Montana,55
Nebraska,58
Nevada,76
New Hampshire,71
New Jersey,76
New Mexico,57
New York,72
North Carolina,64
North Dakota,64
Ohio,57
Oklahoma,60
Oregon,79
Pennsylvania,64
Rhode Island,59
South Carolina,58
South Dakota,68
Tennessee,58
Texas,62
Utah,66
Vermont,66
Virginia,100
Washington,64
West Virginia,62
Wisconsin,64
Wyoming,61
