date,sport,isPartial
2015-01-04,87,False
2015-01-11,91,False
2015-01-18,91,False
2015-01-25,94,False
2015-02-01,92,False
2015-02-08,93,False
2015-02-15,92,False
2015-02-22,90,False
2015-03-01,93,False
2015-03-08,99,False
2015-03-15,94,False
2015-03-22,97,False
2015-03-29,90,False
2015-04-05,92,False
2015-04-12,92,False
2015-04-19,98,False
2015-04-26,97,False
2015-05-03,99,False
2015-05-10,92,False
2015-05-17,96,False
2015-05-24,97,False
2015-05-31,94,False
2015-06-07,94,False
2015-06-14,95,False
2015-06-21,92,False
2015-06-28,93,False
2015-07-05,95,False
2015-07-12,91,False
2015-07-19,91,False
2015-07-26,93,False
2015-08-02,94,False
2015-08-09,100,False
2015-08-16,95,False
2015-08-23,94,False
2015-08-30,95,False
2015-09-06,93,False
2015-09-13,91,False
2015-09-20,94,False
2015-09-27,91,False
2015-10-04,88,False
2015-10-11,89,False
2015-10-18,90,False
2015-10-25,90,False
2015-11-01,87,False
2015-11-08,88,False
2015-11-15,91,False
2015-11-22,93,False
2015-11-29,91,False
2015-12-06,92,False
2015-12-13,95,False
2015-12-20,93,False
2015-12-27,93,False
