date,sport,isPartial
2011-01-02,93,False
2011-01-09,86,False
2011-01-16,93,False
2011-01-23,88,False
2011-01-30,93,False
2011-02-06,91,False
2011-02-13,94,False
2011-02-20,94,False
2011-02-27,94,False
2011-03-06,90,False
2011-03-13,93,False
2011-03-20,94,False
2011-03-27,94,False
2011-04-03,96,False
2011-04-10,95,False
2011-04-17,98,False
2011-04-24,100,False
2011-05-01,95,False
2011-05-08,98,False
2011-05-15,98,False
2011-05-22,96,False
2011-05-29,97,False
2011-06-05,95,False
2011-06-12,95,False
2011-06-19,91,False
2011-06-26,98,False
2011-07-03,93,False
2011-07-10,98,False
2011-07-17,100,False
2011-07-24,92,False
2011-07-31,93,False
2011-08-07,93,False
2011-08-14,99,False
2011-08-21,92,False
2011-08-28,93,False
2011-09-04,94,False
2011-09-11,93,False
2011-09-18,92,False
2011-09-25,92,False
2011-10-02,85,False
2011-10-09,91,False
2011-10-16,87,False
2011-10-23,91,False
2011-10-30,83,False
2011-11-06,85,False
2011-11-13,84,False
2011-11-20,89,False
2011-11-27,91,False
2011-12-04,91,False
2011-12-11,91,False
2011-12-18,86,False
2011-12-25,86,False
