date,sport,isPartial
2016-01-03,80,False
2016-01-10,78,False
2016-01-17,81,False
2016-01-24,81,False
2016-01-31,80,False
2016-02-07,82,False
2016-02-14,86,False
2016-02-21,85,False
2016-02-28,87,False
2016-03-06,88,False
2016-03-13,86,False
2016-03-20,87,False
2016-03-27,84,False
2016-04-03,88,False
2016-04-10,87,False
2016-04-17,88,False
2016-04-24,86,False
2016-05-01,85,False
2016-05-08,84,False
2016-05-15,89,False
2016-05-22,94,False
2016-05-29,89,False
2016-06-05,84,False
2016-06-12,90,False
2016-06-19,87,False
2016-06-26,90,False
2016-07-03,86,False
2016-07-10,83,False
2016-07-17,85,False
2016-07-24,85,False
2016-07-31,86,False
2016-08-07,100,False
2016-08-14,94,False
2016-08-21,89,False
2016-08-28,83,False
2016-09-04,85,False
2016-09-11,83,False
2016-09-18,79,False
2016-09-25,80,False
2016-10-02,76,False
2016-10-09,77,False
2016-10-16,78,False
2016-10-23,79,False
2016-10-30,76,False
2016-11-06,71,False
2016-11-13,78,False
2016-11-20,83,False
2016-11-27,79,False
2016-12-04,78,False
2016-12-11,82,False
2016-12-18,80,False
2016-12-25,80,False
