date,sport,isPartial
2014-01-05,77,False
2014-01-12,78,False
2014-01-19,82,False
2014-01-26,79,False
2014-02-02,84,False
2014-02-09,96,False
2014-02-16,93,False
2014-02-23,82,False
2014-03-02,81,False
2014-03-09,84,False
2014-03-16,85,False
2014-03-23,88,False
2014-03-30,83,False
2014-04-06,86,False
2014-04-13,86,False
2014-04-20,88,False
2014-04-27,88,False
2014-05-04,86,False
2014-05-11,86,False
2014-05-18,87,False
2014-05-25,89,False
2014-06-01,86,False
2014-06-08,96,False
2014-06-15,98,False
2014-06-22,94,False
2014-06-29,94,False
2014-07-06,90,False
2014-07-13,93,False
2014-07-20,89,False
2014-07-27,90,False
2014-08-03,91,False
2014-08-10,94,False
2014-08-17,95,False
2014-08-24,100,False
2014-08-31,97,False
2014-09-07,89,False
2014-09-14,87,False
2014-09-21,85,False
2014-09-28,86,False
2014-10-05,80,False
2014-10-12,79,False
2014-10-19,84,False
2014-10-26,78,False
2014-11-02,80,False
2014-11-09,81,False
2014-11-16,82,False
2014-11-23,86,False
2014-11-30,84,False
2014-12-07,84,False
2014-12-14,84,False
2014-12-21,84,False
2014-12-28,84,False
