date,sport,isPartial
2013-01-06,86,False
2013-01-13,86,False
2013-01-20,91,False
2013-01-27,91,False
2013-02-03,91,False
2013-02-10,90,False
2013-02-17,91,False
2013-02-24,88,False
2013-03-03,91,False
2013-03-10,94,False
2013-03-17,92,False
2013-03-24,94,False
2013-03-31,94,False
2013-04-07,92,False
2013-04-14,86,False
2013-04-21,94,False
2013-04-28,95,False
2013-05-05,90,False
2013-05-12,93,False
2013-05-19,90,False
2013-05-26,97,False
2013-06-02,98,False
2013-06-09,100,False
2013-06-16,92,False
2013-06-23,91,False
2013-06-30,96,False
2013-07-07,92,False
2013-07-14,92,False
2013-07-21,93,False
2013-07-28,94,False
2013-08-04,95,False
2013-08-11,98,False
2013-08-18,96,False
2013-08-25,95,False
2013-09-01,100,False
2013-09-08,99,False
2013-09-15,88,False
2013-09-22,90,False
2013-09-29,88,False
2013-10-06,92,False
2013-10-13,95,False
2013-10-20,95,False
2013-10-27,94,False
2013-11-03,88,False
2013-11-10,93,False
2013-11-17,89,False
2013-11-24,92,False
2013-12-01,89,False
2013-12-08,90,False
2013-12-15,89,False
2013-12-22,89,False
2013-12-29,91,False
