geoName,fast food
Alabama,76
Alaska,38
Arizona,96
Arkansas,74
California,83
Colorado,82
Connecticut,45
Delaware,46
District of Columbia,74
Florida,71
Georgia,88
Hawaii,66
Idaho,71
Illinois,76
Indiana,71
Iowa,59
Kansas,63
Kentucky,79
Louisiana,74
Maine,35
Maryland,53
Massachusetts,43
Michigan,75
Minnesota,69
Mississippi,76
Missouri,86
Montana,58
Nebraska,88
Nevada,100
New Hampshire,42
New Jersey,48
New Mexico,68
New York,57
North Carolina,78
North Dakota,57
Ohio,67
Oklahoma,83
Oregon,50
Pennsylvania,52
Rhode Island,50
South Carolina,80
South Dakota,64
Tennessee,85
Texas,89
Utah,88
Vermont,32
Virginia,42
Washington,66
West Virginia,57
Wisconsin,68
Wyoming,63
