date,fast food,isPartial
2015-01-04,61,False
2015-01-11,60,False
2015-01-18,60,False
2015-01-25,56,False
2015-02-01,58,False
2015-02-08,59,False
2015-02-15,59,False
2015-02-22,59,False
2015-03-01,61,False
2015-03-08,67,False
2015-03-15,63,False
2015-03-22,65,False
2015-03-29,68,False
2015-04-05,67,False
2015-04-12,70,False
2015-04-19,69,False
2015-04-26,62,False
2015-05-03,62,False
2015-05-10,63,False
2015-05-17,67,False
2015-05-24,66,False
2015-05-31,70,False
2015-06-07,68,False
2015-06-14,69,False
2015-06-21,71,False
2015-06-28,74,False
2015-07-05,72,False
2015-07-12,70,False
2015-07-19,90,False
2015-07-26,74,False
2015-08-02,74,False
2015-08-09,68,False
2015-08-16,69,False
2015-08-23,66,False
2015-08-30,66,False
2015-09-06,64,False
2015-09-13,69,False
2015-09-20,64,False
2015-09-27,68,False
2015-10-04,65,False
2015-10-11,67,False
2015-10-18,64,False
2015-10-25,64,False
2015-11-01,68,False
2015-11-08,73,False
2015-11-15,63,False
2015-11-22,73,False
2015-11-29,61,False
2015-12-06,63,False
2015-12-13,60,False
2015-12-20,100,False
2015-12-27,72,False
