date,fast food,isPartial
2014-01-05,69,False
2014-01-12,69,False
2014-01-19,65,False
2014-01-26,68,False
2014-02-02,62,False
2014-02-09,64,False
2014-02-16,65,False
2014-02-23,69,False
2014-03-02,77,False
2014-03-09,82,False
2014-03-16,72,False
2014-03-23,74,False
2014-03-30,74,False
2014-04-06,74,False
2014-04-13,75,False
2014-04-20,75,False
2014-04-27,74,False
2014-05-04,76,False
2014-05-11,84,False
2014-05-18,75,False
2014-05-25,70,False
2014-06-01,69,False
2014-06-08,69,False
2014-06-15,72,False
2014-06-22,75,False
2014-06-29,82,False
2014-07-06,79,False
2014-07-13,75,False
2014-07-20,78,False
2014-07-27,81,False
2014-08-03,71,False
2014-08-10,83,False
2014-08-17,71,False
2014-08-24,74,False
2014-08-31,85,False
2014-09-07,71,False
2014-09-14,74,False
2014-09-21,69,False
2014-09-28,74,False
2014-10-05,72,False
2014-10-12,74,False
2014-10-19,76,False
2014-10-26,70,False
2014-11-02,71,False
2014-11-09,76,False
2014-11-16,75,False
2014-11-23,77,False
2014-11-30,76,False
2014-12-07,74,False
2014-12-14,66,False
2014-12-21,100,False
2014-12-28,79,False
