date,fast food,isPartial
2012-01-01,35,False
2012-01-08,33,False
2012-01-15,32,False
2012-01-22,33,False
2012-01-29,33,False
2012-02-05,32,False
2012-02-12,33,False
2012-02-19,43,False
2012-02-26,64,False
2012-03-04,88,False
2012-03-11,100,False
2012-03-18,96,False
2012-03-25,94,False
2012-04-01,99,False
2012-04-08,91,False
2012-04-15,75,False
2012-04-22,43,False
2012-04-29,45,False
2012-05-06,40,False
2012-05-13,63,False
2012-05-20,92,False
2012-05-27,100,False
2012-06-03,98,False
2012-06-10,93,False
2012-06-17,89,False
2012-06-24,83,False
2012-07-01,88,False
2012-07-08,87,False
2012-07-15,87,False
2012-07-22,85,False
2012-07-29,88,False
2012-08-05,83,False
2012-08-12,85,False
2012-08-19,88,False
2012-08-26,85,False
2012-09-02,80,False
2012-09-09,80,False
2012-09-16,78,False
2012-09-23,75,False
2012-09-30,78,False
2012-10-07,74,False
2012-10-14,72,False
2012-10-21,69,False
2012-10-28,69,False
2012-11-04,69,False
2012-11-11,71,False
2012-11-18,75,False
2012-11-25,78,False
2012-12-02,77,False
2012-12-09,64,False
2012-12-16,65,False
2012-12-23,82,False
2012-12-30,74,False
