geoName,fast food
Alabama,75
Alaska,43
Arizona,100
Arkansas,75
California,77
Colorado,82
Connecticut,43
Delaware,54
District of Columbia,61
Florida,68
Georgia,75
Hawaii,45
Idaho,63
Illinois,66
Indiana,71
Iowa,65
Kansas,68
Kentucky,70
Louisiana,71
Maine,38
Maryland,53
Massachusetts,41
Michigan,67
Minnesota,69
Mississippi,76
Missouri,79
Montana,54
Nebraska,90
Nevada,96
New Hampshire,40
New Jersey,41
New Mexico,75
New York,43
North Carolina,68
North Dakota,76
Ohio,64
Oklahoma,85
Oregon,61
Pennsylvania,47
Rhode Island,42
South Carolina,71
South Dakota,75
Tennessee,72
Texas,85
Utah,82
Vermont,33
Virginia,60
Washington,59
West Virginia,52
Wisconsin,61
Wyoming,73
