geoName,fast food
Alabama,69
Alaska,50
Arizona,100
Arkansas,66
California,85
Colorado,84
Connecticut,46
Delaware,50
District of Columbia,92
Florida,76
Georgia,92
Hawaii,57
Idaho,54
Illinois,87
Indiana,67
Iowa,57
Kansas,80
Kentucky,70
Louisiana,84
Maine,39
Maryland,65
Massachusetts,58
Michigan,82
Minnesota,75
Mississippi,98
Missouri,85
Montana,46
Nebraska,76
Nevada,89
New Hampshire,37
New Jersey,56
New Mexico,67
New York,61
North Carolina,80
North Dakota,50
Ohio,76
Oklahoma,74
Oregon,36
Pennsylvania,58
Rhode Island,45
South Carolina,84
South Dakota,60
Tennessee,71
Texas,90
Utah,67
Vermont,32
Virginia,66
Washington,71
West Virginia,54
Wisconsin,72
Wyoming,55
