geoName,discrimination
Alabama,66
Alaska,82
Arizona,67
Arkansas,77
California,65
Colorado,64
Connecticut,81
Delaware,87
District of Columbia,83
Florida,66
Georgia,67
Hawaii,79
Idaho,74
Illinois,61
Indiana,88
Iowa,90
Kansas,78
Kentucky,71
Louisiana,57
Maine,56
Maryland,78
Massachusetts,69
Michigan,68
Minnesota,64
Mississippi,64
Missouri,73
Montana,73
Nebraska,71
Nevada,64
New Hampshire,67
New Jersey,70
New Mexico,99
New York,63
North Carolina,72
North Dakota,86
Ohio,79
Oklahoma,70
Oregon,49
Pennsylvania,79
Rhode Island,54
South Carolina,75
South Dakota,88
Tennessee,68
Texas,53
Utah,57
Vermont,98
Virginia,73
Washington,64
West Virginia,81
Wisconsin,87
Wyoming,100
