geoName,discrimination
Alabama,80
Alaska,75
Arizona,71
Arkansas,74
California,72
Colorado,59
Connecticut,75
Delaware,79
District of Columbia,100
Florida,60
Georgia,65
Hawaii,77
Idaho,86
Illinois,74
Indiana,87
Iowa,78
Kansas,66
Kentucky,61
Louisiana,58
Maine,61
Maryland,86
Massachusetts,75
Michigan,69
Minnesota,67
Mississippi,67
Missouri,81
Montana,84
Nebraska,61
Nevada,63
New Hampshire,62
New Jersey,69
New Mexico,77
New York,68
North Carolina,71
North Dakota,78
Ohio,75
Oklahoma,57
Oregon,42
Pennsylvania,75
Rhode Island,76
South Carolina,64
South Dakota,73
Tennessee,66
Texas,58
Utah,62
Vermont,74
Virginia,56
Washington,69
West Virginia,72
Wisconsin,74
Wyoming,66
