geoName,discrimination
Alabama,75
Alaska,69
Arizona,71
Arkansas,81
California,80
Colorado,73
Connecticut,91
Delaware,83
District of Columbia,100
Florida,65
Georgia,78
Hawaii,90
Idaho,84
Illinois,75
Indiana,82
Iowa,83
Kansas,72
Kentucky,73
Louisiana,65
Maine,65
Maryland,90
Massachusetts,84
Michigan,80
Minnesota,78
Mississippi,97
Missouri,85
Montana,50
Nebraska,73
Nevada,72
New Hampshire,70
New Jersey,80
New Mexico,73
New York,81
North Carolina,87
North Dakota,82
Ohio,79
Oklahoma,74
Oregon,78
Pennsylvania,78
Rhode Island,80
South Carolina,68
South Dakota,68
Tennessee,65
Texas,62
Utah,53
Vermont,81
Virginia,83
Washington,75
West Virginia,86
Wisconsin,84
Wyoming,56
