geoName,discrimination
Alabama,70
Alaska,51
Arizona,67
Arkansas,86
California,66
Colorado,66
Connecticut,86
Delaware,78
District of Columbia,99
Florida,66
Georgia,69
Hawaii,99
Idaho,88
Illinois,68
Indiana,90
Iowa,90
Kansas,64
Kentucky,70
Louisiana,82
Maine,72
Maryland,83
Massachusetts,75
Michigan,78
Minnesota,74
Mississippi,82
Missouri,85
Montana,61
Nebraska,94
Nevada,67
New Hampshire,74
New Jersey,73
New Mexico,79
New York,67
North Carolina,72
North Dakota,81
Ohio,80
Oklahoma,67
Oregon,62
Pennsylvania,75
Rhode Island,75
South Carolina,69
South Dakota,69
Tennessee,76
Texas,55
Utah,63
Vermont,63
Virginia,81
Washington,64
West Virginia,79
Wisconsin,100
Wyoming,81
