date,discrimination,isPartial
2014-01-05,44,False
2014-01-12,51,False
2014-01-19,51,False
2014-01-26,55,False
2014-02-02,60,False
2014-02-09,69,False
2014-02-16,74,False
2014-02-23,100,False
2014-03-02,74,False
2014-03-09,67,False
2014-03-16,65,False
2014-03-23,69,False
2014-03-30,70,False
2014-04-06,81,False
2014-04-13,70,False
2014-04-20,80,False
2014-04-27,90,False
2014-05-04,80,False
2014-05-11,72,False
2014-05-18,57,False
2014-05-25,52,False
2014-06-01,52,False
2014-06-08,46,False
2014-06-15,46,False
2014-06-22,44,False
2014-06-29,43,False
2014-07-06,39,False
2014-07-13,42,False
2014-07-20,47,False
2014-07-27,40,False
2014-08-03,39,False
2014-08-10,38,False
2014-08-17,40,False
2014-08-24,42,False
2014-08-31,41,False
2014-09-07,55,False
2014-09-14,59,False
2014-09-21,64,False
2014-09-28,66,False
2014-10-05,68,False
2014-10-12,67,False
2014-10-19,69,False
2014-10-26,72,False
2014-11-02,74,False
2014-11-09,73,False
2014-11-16,81,False
2014-11-23,52,False
2014-11-30,88,False
2014-12-07,82,False
2014-12-14,64,False
2014-12-21,21,False
2014-12-28,22,False
