date,discrimination,isPartial
2013-01-06,48,False
2013-01-13,59,False
2013-01-20,62,False
2013-01-27,70,False
2013-02-03,71,False
2013-02-10,72,False
2013-02-17,76,False
2013-02-24,83,False
2013-03-03,75,False
2013-03-10,72,False
2013-03-17,81,False
2013-03-24,74,False
2013-03-31,75,False
2013-04-07,81,False
2013-04-14,91,False
2013-04-21,92,False
2013-04-28,91,False
2013-05-05,91,False
2013-05-12,75,False
2013-05-19,68,False
2013-05-26,58,False
2013-06-02,57,False
2013-06-09,52,False
2013-06-16,49,False
2013-06-23,61,False
2013-06-30,42,False
2013-07-07,49,False
2013-07-14,49,False
2013-07-21,47,False
2013-07-28,46,False
2013-08-04,45,False
2013-08-11,53,False
2013-08-18,45,False
2013-08-25,54,False
2013-09-01,55,False
2013-09-08,66,False
2013-09-15,72,False
2013-09-22,72,False
2013-09-29,71,False
2013-10-06,72,False
2013-10-13,74,False
2013-10-20,80,False
2013-10-27,87,False
2013-11-03,97,False
2013-11-10,85,False
2013-11-17,91,False
2013-11-24,59,False
2013-12-01,88,False
2013-12-08,100,False
2013-12-15,71,False
2013-12-22,23,False
2013-12-29,26,False
