geoName,discrimination
Alabama,77
Alaska,50
Arizona,61
Arkansas,71
California,60
Colorado,59
Connecticut,71
Delaware,74
District of Columbia,100
Florida,54
Georgia,61
Hawaii,76
Idaho,83
Illinois,59
Indiana,80
Iowa,70
Kansas,65
Kentucky,68
Louisiana,56
Maine,57
Maryland,75
Massachusetts,64
Michigan,67
Minnesota,64
Mississippi,60
Missouri,63
Montana,71
Nebraska,66
Nevada,64
New Hampshire,65
New Jersey,63
New Mexico,76
New York,66
North Carolina,66
North Dakota,76
Ohio,70
Oklahoma,59
Oregon,42
Pennsylvania,69
Rhode Island,66
South Carolina,67
South Dakota,70
Tennessee,56
Texas,54
Utah,62
Vermont,62
Virginia,64
Washington,64
West Virginia,70
Wisconsin,76
Wyoming,68
