geoName,melancholy
Alabama,82
Alaska,79
Arizona,99
Arkansas,82
California,88
Colorado,69
Connecticut,72
Delaware,50
District of Columbia,72
Florida,75
Georgia,63
Hawaii,82
Idaho,68
Illinois,73
Indiana,98
Iowa,84
Kansas,71
Kentucky,61
Louisiana,82
Maine,90
Maryland,78
Massachusetts,62
Michigan,80
Minnesota,69
Mississippi,100
Missouri,75
Montana,77
Nebraska,77
Nevada,100
New Hampshire,46
New Jersey,82
New Mexico,67
New York,73
North Carolina,65
North Dakota,54
Ohio,76
Oklahoma,73
Oregon,74
Pennsylvania,76
Rhode Island,74
South Carolina,82
South Dakota,86
Tennessee,77
Texas,79
Utah,70
Vermont,53
Virginia,53
Washington,71
West Virginia,68
Wisconsin,84
Wyoming,58
