geoName,melancholy
Alabama,88
Alaska,77
Arizona,89
Arkansas,83
California,88
Colorado,77
Connecticut,83
Delaware,61
District of Columbia,73
Florida,68
Georgia,77
Hawaii,61
Idaho,71
Illinois,77
Indiana,88
Iowa,68
Kansas,70
Kentucky,84
Louisiana,72
Maine,69
Maryland,83
Massachusetts,75
Michigan,74
Minnesota,78
Mississippi,67
Missouri,79
Montana,57
Nebraska,79
Nevada,80
New Hampshire,65
New Jersey,67
New Mexico,72
New York,71
North Carolina,77
North Dakota,43
Ohio,72
Oklahoma,71
Oregon,82
Pennsylvania,77
Rhode Island,67
South Carolina,74
South Dakota,88
Tennessee,78
Texas,71
Utah,84
Vermont,90
Virginia,79
Washington,79
West Virginia,80
Wisconsin,72
Wyoming,100
