geoName,melancholy
Alabama,78
Alaska,88
Arizona,66
Arkansas,68
California,81
Colorado,72
Connecticut,78
Delaware,76
District of Columbia,54
Florida,64
Georgia,63
Hawaii,58
Idaho,82
Illinois,60
Indiana,66
Iowa,70
Kansas,86
Kentucky,85
Louisiana,58
Maine,81
Maryland,67
Massachusetts,65
Michigan,60
Minnesota,54
Mississippi,60
Missouri,65
Montana,24
Nebraska,67
Nevada,100
New Hampshire,73
New Jersey,81
New Mexico,64
New York,70
North Carolina,78
North Dakota,82
Ohio,65
Oklahoma,75
Oregon,69
Pennsylvania,68
Rhode Island,63
South Carolina,64
South Dakota,75
Tennessee,67
Texas,67
Utah,68
Vermont,73
Virginia,63
Washington,85
West Virginia,84
Wisconsin,69
Wyoming,86
