date,melancholy,isPartial
2013-01-06,79,False
2013-01-13,83,False
2013-01-20,75,False
2013-01-27,80,False
2013-02-03,70,False
2013-02-10,74,False
2013-02-17,83,False
2013-02-24,69,False
2013-03-03,83,False
2013-03-10,74,False
2013-03-17,69,False
2013-03-24,74,False
2013-03-31,88,False
2013-04-07,78,False
2013-04-14,79,False
2013-04-21,69,False
2013-04-28,82,False
2013-05-05,72,False
2013-05-12,72,False
2013-05-19,75,False
2013-05-26,68,False
2013-06-02,66,False
2013-06-09,60,False
2013-06-16,65,False
2013-06-23,64,False
2013-06-30,68,False
2013-07-07,65,False
2013-07-14,68,False
2013-07-21,66,False
2013-07-28,78,False
2013-08-04,72,False
2013-08-11,66,False
2013-08-18,77,False
2013-08-25,76,False
2013-09-01,83,False
2013-09-08,84,False
2013-09-15,85,False
2013-09-22,86,False
2013-09-29,78,False
2013-10-06,76,False
2013-10-13,75,False
2013-10-20,87,False
2013-10-27,91,False
2013-11-03,93,False
2013-11-10,90,False
2013-11-17,100,False
2013-11-24,73,False
2013-12-01,88,False
2013-12-08,84,False
2013-12-15,80,False
2013-12-22,70,False
2013-12-29,70,False
