date,melancholy,isPartial
2011-01-02,92,False
2011-01-09,91,False
2011-01-16,84,False
2011-01-23,88,False
2011-01-30,77,False
2011-02-06,85,False
2011-02-13,90,False
2011-02-20,74,False
2011-02-27,82,False
2011-03-06,83,False
2011-03-13,69,False
2011-03-20,71,False
2011-03-27,80,False
2011-04-03,83,False
2011-04-10,100,False
2011-04-17,71,False
2011-04-24,75,False
2011-05-01,92,False
2011-05-08,71,False
2011-05-15,86,False
2011-05-22,95,False
2011-05-29,75,False
2011-06-05,77,False
2011-06-12,68,False
2011-06-19,73,False
2011-06-26,66,False
2011-07-03,79,False
2011-07-10,64,False
2011-07-17,80,False
2011-07-24,79,False
2011-07-31,66,False
2011-08-07,75,False
2011-08-14,71,False
2011-08-21,68,False
2011-08-28,86,False
2011-09-04,82,False
2011-09-11,71,False
2011-09-18,85,False
2011-09-25,78,False
2011-10-02,76,False
2011-10-09,84,False
2011-10-16,87,False
2011-10-23,85,False
2011-10-30,74,False
2011-11-06,86,False
2011-11-13,83,False
2011-11-20,64,False
2011-11-27,85,False
2011-12-04,99,False
2011-12-11,84,False
2011-12-18,71,False
2011-12-25,64,False
