date,melancholy,isPartial
2014-01-05,89,False
2014-01-12,84,False
2014-01-19,80,False
2014-01-26,81,False
2014-02-02,77,False
2014-02-09,80,False
2014-02-16,88,False
2014-02-23,79,False
2014-03-02,87,False
2014-03-09,83,False
2014-03-16,82,False
2014-03-23,86,False
2014-03-30,90,False
2014-04-06,74,False
2014-04-13,95,False
2014-04-20,84,False
2014-04-27,80,False
2014-05-04,81,False
2014-05-11,87,False
2014-05-18,77,False
2014-05-25,75,False
2014-06-01,60,False
2014-06-08,70,False
2014-06-15,70,False
2014-06-22,69,False
2014-06-29,69,False
2014-07-06,63,False
2014-07-13,70,False
2014-07-20,70,False
2014-07-27,73,False
2014-08-03,70,False
2014-08-10,77,False
2014-08-17,70,False
2014-08-24,79,False
2014-08-31,95,False
2014-09-07,92,False
2014-09-14,90,False
2014-09-21,89,False
2014-09-28,94,False
2014-10-05,100,False
2014-10-12,99,False
2014-10-19,100,False
2014-10-26,98,False
2014-11-02,92,False
2014-11-09,96,False
2014-11-16,99,False
2014-11-23,74,False
2014-11-30,99,False
2014-12-07,89,False
2014-12-14,78,False
2014-12-21,58,False
2014-12-28,65,False
