date,fat,isPartial
2012-01-01,77,False
2012-01-08,79,False
2012-01-15,77,False
2012-01-22,80,False
2012-01-29,76,False
2012-02-05,78,False
2012-02-12,76,False
2012-02-19,100,False
2012-02-26,75,False
2012-03-04,74,False
2012-03-11,74,False
2012-03-18,78,False
2012-03-25,75,False
2012-04-01,78,False
2012-04-08,76,False
2012-04-15,77,False
2012-04-22,76,False
2012-04-29,77,False
2012-05-06,74,False
2012-05-13,79,False
2012-05-20,76,False
2012-05-27,78,False
2012-06-03,79,False
2012-06-10,77,False
2012-06-17,79,False
2012-06-24,73,False
2012-07-01,80,False
2012-07-08,77,False
2012-07-15,76,False
2012-07-22,72,False
2012-07-29,77,False
2012-08-05,73,False
2012-08-12,74,False
2012-08-19,69,False
2012-08-26,69,False
2012-09-02,72,False
2012-09-09,70,False
2012-09-16,75,False
2012-09-23,74,False
2012-09-30,74,False
2012-10-07,69,False
2012-10-14,66,False
2012-10-21,67,False
2012-10-28,66,False
2012-11-04,65,False
2012-11-11,69,False
2012-11-18,68,False
2012-11-25,69,False
2012-12-02,72,False
2012-12-09,69,False
2012-12-16,63,False
2012-12-23,71,False
2012-12-30,79,False
