date,fat,isPartial
2016-01-03,82,False
2016-01-10,78,False
2016-01-17,83,False
2016-01-24,84,False
2016-01-31,87,False
2016-02-07,97,False
2016-02-14,83,False
2016-02-21,87,False
2016-02-28,84,False
2016-03-06,86,False
2016-03-13,86,False
2016-03-20,100,False
2016-03-27,97,False
2016-04-03,94,False
2016-04-10,89,False
2016-04-17,86,False
2016-04-24,85,False
2016-05-01,81,False
2016-05-08,83,False
2016-05-15,82,False
2016-05-22,88,False
2016-05-29,85,False
2016-06-05,88,False
2016-06-12,80,False
2016-06-19,86,False
2016-06-26,84,False
2016-07-03,83,False
2016-07-10,77,False
2016-07-17,82,False
2016-07-24,79,False
2016-07-31,79,False
2016-08-07,73,False
2016-08-14,71,False
2016-08-21,71,False
2016-08-28,71,False
2016-09-04,74,False
2016-09-11,73,False
2016-09-18,70,False
2016-09-25,73,False
2016-10-02,73,False
2016-10-09,71,False
2016-10-16,71,False
2016-10-23,69,False
2016-10-30,69,False
2016-11-06,62,False
2016-11-13,70,False
2016-11-20,70,False
2016-11-27,69,False
2016-12-04,73,False
2016-12-11,70,False
2016-12-18,68,False
2016-12-25,75,False
