geoName,fat
Alabama,93
Alaska,92
Arizona,88
Arkansas,90
California,79
Colorado,80
Connecticut,80
Delaware,91
District of Columbia,84
Florida,78
Georgia,89
Hawaii,79
Idaho,85
Illinois,79
Indiana,84
Iowa,80
Kansas,75
Kentucky,86
Louisiana,93
Maine,78
Maryland,81
Massachusetts,80
Michigan,85
Minnesota,78
Mississippi,99
Missouri,84
Montana,66
Nebraska,79
Nevada,84
New Hampshire,75
New Jersey,83
New Mexico,84
New York,81
North Carolina,85
North Dakota,72
Ohio,86
Oklahoma,84
Oregon,71
Pennsylvania,85
Rhode Island,86
South Carolina,87
South Dakota,74
Tennessee,84
Texas,85
Utah,79
Vermont,76
Virginia,82
Washington,74
West Virginia,100
Wisconsin,79
Wyoming,77
