date,fat,isPartial
2011-01-02,81,False
2011-01-09,75,False
2011-01-16,77,False
2011-01-23,76,False
2011-01-30,82,False
2011-02-06,80,False
2011-02-13,79,False
2011-02-20,81,False
2011-02-27,83,False
2011-03-06,100,False
2011-03-13,78,False
2011-03-20,78,False
2011-03-27,78,False
2011-04-03,76,False
2011-04-10,78,False
2011-04-17,73,False
2011-04-24,76,False
2011-05-01,74,False
2011-05-08,75,False
2011-05-15,77,False
2011-05-22,77,False
2011-05-29,79,False
2011-06-05,84,False
2011-06-12,80,False
2011-06-19,77,False
2011-06-26,76,False
2011-07-03,74,False
2011-07-10,75,False
2011-07-17,74,False
2011-07-24,75,False
2011-07-31,73,False
2011-08-07,71,False
2011-08-14,72,False
2011-08-21,68,False
2011-08-28,71,False
2011-09-04,72,False
2011-09-11,73,False
2011-09-18,70,False
2011-09-25,73,False
2011-10-02,72,False
2011-10-09,75,False
2011-10-16,74,False
2011-10-23,72,False
2011-10-30,72,False
2011-11-06,70,False
2011-11-13,75,False
2011-11-20,73,False
2011-11-27,71,False
2011-12-04,70,False
2011-12-11,72,False
2011-12-18,69,False
2011-12-25,75,False
