date,fat,isPartial
2013-01-06,90,False
2013-01-13,87,False
2013-01-20,86,False
2013-01-27,84,False
2013-02-03,89,False
2013-02-10,100,False
2013-02-17,87,False
2013-02-24,86,False
2013-03-03,88,False
2013-03-10,85,False
2013-03-17,87,False
2013-03-24,86,False
2013-03-31,86,False
2013-04-07,92,False
2013-04-14,83,False
2013-04-21,87,False
2013-04-28,89,False
2013-05-05,89,False
2013-05-12,86,False
2013-05-19,86,False
2013-05-26,88,False
2013-06-02,86,False
2013-06-09,87,False
2013-06-16,87,False
2013-06-23,87,False
2013-06-30,85,False
2013-07-07,86,False
2013-07-14,85,False
2013-07-21,85,False
2013-07-28,85,False
2013-08-04,89,False
2013-08-11,82,False
2013-08-18,80,False
2013-08-25,80,False
2013-09-01,80,False
2013-09-08,75,False
2013-09-15,77,False
2013-09-22,77,False
2013-09-29,77,False
2013-10-06,76,False
2013-10-13,75,False
2013-10-20,76,False
2013-10-27,75,False
2013-11-03,82,False
2013-11-10,78,False
2013-11-17,78,False
2013-11-24,76,False
2013-12-01,73,False
2013-12-08,74,False
2013-12-15,75,False
2013-12-22,80,False
2013-12-29,86,False
