geoName,fat
Alabama,88
Alaska,78
Arizona,86
Arkansas,86
California,83
Colorado,83
Connecticut,81
Delaware,94
District of Columbia,77
Florida,82
Georgia,91
Hawaii,81
Idaho,95
Illinois,83
Indiana,85
Iowa,78
Kansas,86
Kentucky,85
Louisiana,94
Maine,79
Maryland,83
Massachusetts,81
Michigan,84
Minnesota,75
Mississippi,100
Missouri,81
Montana,76
Nebraska,84
Nevada,83
New Hampshire,79
New Jersey,88
New Mexico,78
New York,89
North Carolina,83
North Dakota,83
Ohio,88
Oklahoma,85
Oregon,77
Pennsylvania,86
Rhode Island,91
South Carolina,83
South Dakota,85
Tennessee,81
Texas,90
Utah,82
Vermont,77
Virginia,89
Washington,77
West Virginia,90
Wisconsin,80
Wyoming,85
