geoName,fat
Alabama,81
Alaska,86
Arizona,80
Arkansas,84
California,79
Colorado,80
Connecticut,77
Delaware,85
District of Columbia,77
Florida,81
Georgia,84
Hawaii,79
Idaho,87
Illinois,83
Indiana,81
Iowa,75
Kansas,87
Kentucky,88
Louisiana,87
Maine,76
Maryland,84
Massachusetts,77
Michigan,84
Minnesota,76
Mississippi,100
Missouri,85
Montana,70
Nebraska,80
Nevada,83
New Hampshire,72
New Jersey,82
New Mexico,72
New York,82
North Carolina,80
North Dakota,71
Ohio,81
Oklahoma,84
Oregon,57
Pennsylvania,80
Rhode Island,77
South Carolina,83
South Dakota,75
Tennessee,80
Texas,85
Utah,78
Vermont,67
Virginia,81
Washington,74
West Virginia,94
Wisconsin,76
Wyoming,73
