geoName,fat
Alabama,83
Alaska,91
Arizona,81
Arkansas,83
California,76
Colorado,77
Connecticut,73
Delaware,81
District of Columbia,76
Florida,83
Georgia,88
Hawaii,78
Idaho,85
Illinois,85
Indiana,79
Iowa,76
Kansas,87
Kentucky,86
Louisiana,91
Maine,79
Maryland,81
Massachusetts,76
Michigan,82
Minnesota,75
Mississippi,100
Missouri,83
Montana,68
Nebraska,81
Nevada,84
New Hampshire,70
New Jersey,78
New Mexico,77
New York,82
North Carolina,86
North Dakota,75
Ohio,81
Oklahoma,89
Oregon,49
Pennsylvania,84
Rhode Island,82
South Carolina,86
South Dakota,69
Tennessee,84
Texas,83
Utah,76
Vermont,71
Virginia,73
Washington,74
West Virginia,91
Wisconsin,75
Wyoming,79
