geoName,fat
Alabama,83
Alaska,84
Arizona,82
Arkansas,84
California,77
Colorado,78
Connecticut,81
Delaware,87
District of Columbia,78
Florida,83
Georgia,89
Hawaii,80
Idaho,92
Illinois,82
Indiana,83
Iowa,77
Kansas,81
Kentucky,81
Louisiana,90
Maine,80
Maryland,82
Massachusetts,77
Michigan,85
Minnesota,72
Mississippi,100
Missouri,81
Montana,69
Nebraska,79
Nevada,77
New Hampshire,72
New Jersey,83
New Mexico,76
New York,84
North Carolina,84
North Dakota,76
Ohio,82
Oklahoma,83
Oregon,72
Pennsylvania,81
Rhode Island,82
South Carolina,84
South Dakota,73
Tennessee,83
Texas,87
Utah,74
Vermont,69
Virginia,84
Washington,78
West Virginia,93
Wisconsin,76
Wyoming,77
