date,fat,isPartial
2015-01-04,81,False
2015-01-11,80,False
2015-01-18,84,False
2015-01-25,84,False
2015-02-01,80,False
2015-02-08,84,False
2015-02-15,100,False
2015-02-22,80,False
2015-03-01,82,False
2015-03-08,85,False
2015-03-15,82,False
2015-03-22,83,False
2015-03-29,83,False
2015-04-05,81,False
2015-04-12,82,False
2015-04-19,82,False
2015-04-26,82,False
2015-05-03,79,False
2015-05-10,82,False
2015-05-17,82,False
2015-05-24,83,False
2015-05-31,82,False
2015-06-07,87,False
2015-06-14,84,False
2015-06-21,84,False
2015-06-28,81,False
2015-07-05,83,False
2015-07-12,81,False
2015-07-19,82,False
2015-07-26,80,False
2015-08-02,81,False
2015-08-09,79,False
2015-08-16,80,False
2015-08-23,75,False
2015-08-30,79,False
2015-09-06,84,False
2015-09-13,76,False
2015-09-20,73,False
2015-09-27,72,False
2015-10-04,74,False
2015-10-11,71,False
2015-10-18,74,False
2015-10-25,73,False
2015-11-01,74,False
2015-11-08,74,False
2015-11-15,73,False
2015-11-22,71,False
2015-11-29,71,False
2015-12-06,70,False
2015-12-13,72,False
2015-12-20,75,False
2015-12-27,82,False
