date,misunderstanding,isPartial
2013-01-06,85,False
2013-01-13,100,False
2013-01-20,92,False
2013-01-27,71,False
2013-02-03,53,False
2013-02-10,53,False
2013-02-17,76,False
2013-02-24,81,False
2013-03-03,85,False
2013-03-10,71,False
2013-03-17,88,False
2013-03-24,72,False
2013-03-31,63,False
2013-04-07,74,False
2013-04-14,82,False
2013-04-21,81,False
2013-04-28,63,False
2013-05-05,70,False
2013-05-12,68,False
2013-05-19,73,False
2013-05-26,76,False
2013-06-02,63,False
2013-06-09,76,False
2013-06-16,58,False
2013-06-23,67,False
2013-06-30,38,False
2013-07-07,43,False
2013-07-14,52,False
2013-07-21,44,False
2013-07-28,67,False
2013-08-04,72,False
2013-08-11,56,False
2013-08-18,62,False
2013-08-25,78,False
2013-09-01,52,False
2013-09-08,66,False
2013-09-15,60,False
2013-09-22,78,False
2013-09-29,52,False
2013-10-06,61,False
2013-10-13,69,False
2013-10-20,85,False
2013-10-27,68,False
2013-11-03,62,False
2013-11-10,53,False
2013-11-17,55,False
2013-11-24,61,False
2013-12-01,62,False
2013-12-08,56,False
2013-12-15,47,False
2013-12-22,71,False
2013-12-29,88,False
