date,misunderstanding,isPartial
2016-01-03,68,False
2016-01-10,53,False
2016-01-17,100,False
2016-01-24,81,False
2016-01-31,76,False
2016-02-07,77,False
2016-02-14,64,False
2016-02-21,68,False
2016-02-28,66,False
2016-03-06,81,False
2016-03-13,78,False
2016-03-20,68,False
2016-03-27,78,False
2016-04-03,71,False
2016-04-10,79,False
2016-04-17,49,False
2016-04-24,76,False
2016-05-01,78,False
2016-05-08,64,False
2016-05-15,69,False
2016-05-22,66,False
2016-05-29,51,False
2016-06-05,71,False
2016-06-12,46,False
2016-06-19,57,False
2016-06-26,77,False
2016-07-03,58,False
2016-07-10,51,False
2016-07-17,49,False
2016-07-24,50,False
2016-07-31,49,False
2016-08-07,39,False
2016-08-14,60,False
2016-08-21,64,False
2016-08-28,71,False
2016-09-04,71,False
2016-09-11,54,False
2016-09-18,81,False
2016-09-25,46,False
2016-10-02,58,False
2016-10-09,70,False
2016-10-16,48,False
2016-10-23,78,False
2016-10-30,74,False
2016-11-06,56,False
2016-11-13,78,False
2016-11-20,54,False
2016-11-27,68,False
2016-12-04,68,False
2016-12-11,80,False
2016-12-18,45,False
2016-12-25,30,False
