geoName,misunderstanding
Alabama,64
Alaska,0
Arizona,64
Arkansas,82
California,64
Colorado,38
Connecticut,62
Delaware,0
District of Columbia,78
Florida,64
Georgia,52
Hawaii,44
Idaho,65
Illinois,48
Indiana,41
Iowa,51
Kansas,56
Kentucky,48
Louisiana,61
Maine,88
Maryland,90
Massachusetts,54
Michigan,66
Minnesota,45
Mississippi,32
Missouri,45
Montana,73
Nebraska,100
Nevada,14
New Hampshire,38
New Jersey,54
New Mexico,29
New York,71
North Carolina,53
North Dakota,0
Ohio,46
Oklahoma,40
Oregon,38
Pennsylvania,64
Rhode Island,48
South Carolina,72
South Dakota,23
Tennessee,71
Texas,61
Utah,40
Vermont,0
Virginia,62
Washington,59
West Virginia,0
Wisconsin,36
Wyoming,0
