date,misunderstanding,isPartial
2012-01-01,23,False
2012-01-08,29,False
2012-01-15,24,False
2012-01-22,36,False
2012-01-29,24,False
2012-02-05,33,False
2012-02-12,18,False
2012-02-19,25,False
2012-02-26,35,False
2012-03-04,32,False
2012-03-11,55,False
2012-03-18,33,False
2012-03-25,27,False
2012-04-01,24,False
2012-04-08,31,False
2012-04-15,33,False
2012-04-22,31,False
2012-04-29,26,False
2012-05-06,30,False
2012-05-13,26,False
2012-05-20,27,False
2012-05-27,35,False
2012-06-03,100,False
2012-06-10,88,False
2012-06-17,86,False
2012-06-24,70,False
2012-07-01,61,False
2012-07-08,44,False
2012-07-15,34,False
2012-07-22,31,False
2012-07-29,44,False
2012-08-05,27,False
2012-08-12,28,False
2012-08-19,29,False
2012-08-26,37,False
2012-09-02,51,False
2012-09-09,37,False
2012-09-16,42,False
2012-09-23,20,False
2012-09-30,46,False
2012-10-07,54,False
2012-10-14,35,False
2012-10-21,43,False
2012-10-28,50,False
2012-11-04,41,False
2012-11-11,39,False
2012-11-18,49,False
2012-11-25,30,False
2012-12-02,39,False
2012-12-09,26,False
2012-12-16,31,False
2012-12-23,83,False
2012-12-30,75,False
