geoName,misunderstanding
Alabama,43
Alaska,0
Arizona,58
Arkansas,69
California,56
Colorado,47
Connecticut,80
Delaware,0
District of Columbia,55
Florida,59
Georgia,37
Hawaii,48
Idaho,99
Illinois,49
Indiana,39
Iowa,56
Kansas,72
Kentucky,64
Louisiana,39
Maine,68
Maryland,90
Massachusetts,71
Michigan,66
Minnesota,51
Mississippi,37
Missouri,40
Montana,100
Nebraska,39
Nevada,56
New Hampshire,52
New Jersey,60
New Mexico,72
New York,64
North Carolina,55
North Dakota,0
Ohio,45
Oklahoma,48
Oregon,77
Pennsylvania,56
Rhode Island,98
South Carolina,36
South Dakota,22
Tennessee,41
Texas,47
Utah,63
Vermont,0
Virginia,61
Washington,44
West Virginia,34
Wisconsin,47
Wyoming,0
