date,misunderstanding,isPartial
2015-01-04,60,False
2015-01-11,58,False
2015-01-18,68,False
2015-01-25,56,False
2015-02-01,68,False
2015-02-08,71,False
2015-02-15,70,False
2015-02-22,73,False
2015-03-01,87,False
2015-03-08,79,False
2015-03-15,69,False
2015-03-22,68,False
2015-03-29,82,False
2015-04-05,54,False
2015-04-12,59,False
2015-04-19,86,False
2015-04-26,80,False
2015-05-03,65,False
2015-05-10,77,False
2015-05-17,59,False
2015-05-24,65,False
2015-05-31,72,False
2015-06-07,50,False
2015-06-14,45,False
2015-06-21,76,False
2015-06-28,64,False
2015-07-05,66,False
2015-07-12,70,False
2015-07-19,73,False
2015-07-26,45,False
2015-08-02,66,False
2015-08-09,67,False
2015-08-16,79,False
2015-08-23,66,False
2015-08-30,70,False
2015-09-06,76,False
2015-09-13,57,False
2015-09-20,85,False
2015-09-27,77,False
2015-10-04,70,False
2015-10-11,63,False
2015-10-18,70,False
2015-10-25,84,False
2015-11-01,85,False
2015-11-08,74,False
2015-11-15,60,False
2015-11-22,60,False
2015-11-29,93,False
2015-12-06,100,False
2015-12-13,51,False
2015-12-20,30,False
2015-12-27,65,False
