geoName,misunderstanding
Alabama,16
Alaska,0
Arizona,47
Arkansas,29
California,59
Colorado,55
Connecticut,49
Delaware,0
District of Columbia,63
Florida,57
Georgia,60
Hawaii,100
Idaho,59
Illinois,55
Indiana,61
Iowa,36
Kansas,86
Kentucky,89
Louisiana,48
Maine,38
Maryland,70
Massachusetts,71
Michigan,41
Minnesota,36
Mississippi,77
Missouri,71
Montana,65
Nebraska,79
Nevada,30
New Hampshire,48
New Jersey,49
New Mexico,87
New York,71
North Carolina,62
North Dakota,0
Ohio,66
Oklahoma,63
Oregon,57
Pennsylvania,72
Rhode Island,41
South Carolina,71
South Dakota,0
Tennessee,71
Texas,52
Utah,27
Vermont,0
Virginia,52
Washington,55
West Virginia,85
Wisconsin,23
Wyoming,0
