date,misunderstanding,isPartial
2014-01-05,33,False
2014-01-12,42,False
2014-01-19,59,False
2014-01-26,50,False
2014-02-02,44,False
2014-02-09,48,False
2014-02-16,40,False
2014-02-23,40,False
2014-03-02,39,False
2014-03-09,42,False
2014-03-16,35,False
2014-03-23,48,False
2014-03-30,38,False
2014-04-06,45,False
2014-04-13,39,False
2014-04-20,34,False
2014-04-27,48,False
2014-05-04,46,False
2014-05-11,40,False
2014-05-18,60,False
2014-05-25,41,False
2014-06-01,44,False
2014-06-08,29,False
2014-06-15,44,False
2014-06-22,40,False
2014-06-29,28,False
2014-07-06,38,False
2014-07-13,35,False
2014-07-20,49,False
2014-07-27,100,False
2014-08-03,87,False
2014-08-10,71,False
2014-08-17,68,False
2014-08-24,34,False
2014-08-31,48,False
2014-09-07,61,False
2014-09-14,71,False
2014-09-21,47,False
2014-09-28,44,False
2014-10-05,49,False
2014-10-12,47,False
2014-10-19,39,False
2014-10-26,45,False
2014-11-02,36,False
2014-11-09,55,False
2014-11-16,37,False
2014-11-23,27,False
2014-11-30,44,False
2014-12-07,37,False
2014-12-14,49,False
2014-12-21,43,False
2014-12-28,26,False
