geoName,alcohol
Alabama,71
Alaska,89
Arizona,79
Arkansas,74
California,78
Colorado,92
Connecticut,82
Delaware,82
District of Columbia,89
Florida,81
Georgia,78
Hawaii,69
Idaho,86
Illinois,82
Indiana,89
Iowa,82
Kansas,74
Kentucky,86
Louisiana,83
Maine,84
Maryland,80
Massachusetts,91
Michigan,81
Minnesota,88
Mississippi,75
Missouri,82
Montana,97
Nebraska,88
Nevada,72
New Hampshire,91
New Jersey,70
New Mexico,87
New York,72
North Carolina,77
North Dakota,91
Ohio,85
Oklahoma,73
Oregon,86
Pennsylvania,87
Rhode Island,86
South Carolina,79
South Dakota,88
Tennessee,77
Texas,77
Utah,64
Vermont,100
Virginia,78
Washington,93
West Virginia,81
Wisconsin,85
Wyoming,79
