geoName,alcohol
Alabama,76
Alaska,99
Arizona,82
Arkansas,80
California,84
Colorado,88
Connecticut,91
Delaware,82
District of Columbia,93
Florida,87
Georgia,81
Hawaii,86
Idaho,86
Illinois,82
Indiana,87
Iowa,86
Kansas,69
Kentucky,89
Louisiana,75
Maine,87
Maryland,86
Massachusetts,91
Michigan,94
Minnesota,86
Mississippi,76
Missouri,81
Montana,100
Nebraska,90
Nevada,83
New Hampshire,96
New Jersey,74
New Mexico,94
New York,78
North Carolina,80
North Dakota,99
Ohio,84
Oklahoma,80
Oregon,70
Pennsylvania,92
Rhode Island,89
South Carolina,80
South Dakota,92
Tennessee,80
Texas,79
Utah,73
Vermont,95
Virginia,57
Washington,92
West Virginia,91
Wisconsin,91
Wyoming,98
