geoName,alcohol
Alabama,77
Alaska,100
Arizona,82
Arkansas,82
California,79
Colorado,91
Connecticut,88
Delaware,83
District of Columbia,91
Florida,81
Georgia,83
Hawaii,83
Idaho,87
Illinois,87
Indiana,93
Iowa,88
Kansas,77
Kentucky,87
Louisiana,78
Maine,94
Maryland,80
Massachusetts,92
Michigan,92
Minnesota,89
Mississippi,75
Missouri,81
Montana,97
Nebraska,93
Nevada,87
New Hampshire,91
New Jersey,79
New Mexico,97
New York,79
North Carolina,79
North Dakota,94
Ohio,85
Oklahoma,77
Oregon,90
Pennsylvania,96
Rhode Island,90
South Carolina,77
South Dakota,100
Tennessee,81
Texas,80
Utah,76
Vermont,98
Virginia,81
Washington,90
West Virginia,89
Wisconsin,91
Wyoming,89
