geoName,alcohol
Alabama,77
Alaska,98
Arizona,81
Arkansas,81
California,82
Colorado,89
Connecticut,80
Delaware,86
District of Columbia,91
Florida,85
Georgia,79
Hawaii,85
Idaho,85
Illinois,83
Indiana,92
Iowa,86
Kansas,77
Kentucky,87
Louisiana,82
Maine,86
Maryland,82
Massachusetts,89
Michigan,88
Minnesota,89
Mississippi,80
Missouri,89
Montana,100
Nebraska,91
Nevada,86
New Hampshire,89
New Jersey,76
New Mexico,88
New York,79
North Carolina,77
North Dakota,90
Ohio,82
Oklahoma,86
Oregon,59
Pennsylvania,95
Rhode Island,95
South Carolina,82
South Dakota,93
Tennessee,83
Texas,76
Utah,73
Vermont,91
Virginia,67
Washington,91
West Virginia,89
Wisconsin,87
Wyoming,85
