geoName,alcohol
Alabama,74
Alaska,92
Arizona,80
Arkansas,70
California,81
Colorado,86
Connecticut,87
Delaware,95
District of Columbia,91
Florida,82
Georgia,87
Hawaii,76
Idaho,81
Illinois,84
Indiana,95
Iowa,86
Kansas,82
Kentucky,82
Louisiana,77
Maine,87
Maryland,83
Massachusetts,90
Michigan,86
Minnesota,90
Mississippi,77
Missouri,79
Montana,90
Nebraska,90
Nevada,77
New Hampshire,94
New Jersey,73
New Mexico,93
New York,82
North Carolina,79
North Dakota,94
Ohio,87
Oklahoma,79
Oregon,90
Pennsylvania,95
Rhode Island,95
South Carolina,77
South Dakota,100
Tennessee,74
Texas,77
Utah,69
Vermont,94
Virginia,82
Washington,93
West Virginia,87
Wisconsin,87
Wyoming,82
