date,alcohol,isPartial
2013-01-06,90,False
2013-01-13,88,False
2013-01-20,93,False
2013-01-27,91,False
2013-02-03,93,False
2013-02-10,93,False
2013-02-17,96,False
2013-02-24,91,False
2013-03-03,92,False
2013-03-10,95,False
2013-03-17,94,False
2013-03-24,90,False
2013-03-31,88,False
2013-04-07,93,False
2013-04-14,86,False
2013-04-21,93,False
2013-04-28,93,False
2013-05-05,87,False
2013-05-12,97,False
2013-05-19,93,False
2013-05-26,96,False
2013-06-02,87,False
2013-06-09,90,False
2013-06-16,87,False
2013-06-23,93,False
2013-06-30,99,False
2013-07-07,92,False
2013-07-14,91,False
2013-07-21,88,False
2013-07-28,92,False
2013-08-04,92,False
2013-08-11,90,False
2013-08-18,92,False
2013-08-25,83,False
2013-09-01,90,False
2013-09-08,83,False
2013-09-15,85,False
2013-09-22,86,False
2013-09-29,82,False
2013-10-06,84,False
2013-10-13,89,False
2013-10-20,88,False
2013-10-27,89,False
2013-11-03,89,False
2013-11-10,88,False
2013-11-17,89,False
2013-11-24,86,False
2013-12-01,83,False
2013-12-08,85,False
2013-12-15,86,False
2013-12-22,93,False
2013-12-29,100,False
