geoName,alcohol
Alabama,78
Alaska,91
Arizona,81
Arkansas,80
California,82
Colorado,92
Connecticut,83
Delaware,93
District of Columbia,85
Florida,87
Georgia,82
Hawaii,80
Idaho,83
Illinois,85
Indiana,96
Iowa,88
Kansas,80
Kentucky,89
Louisiana,86
Maine,88
Maryland,85
Massachusetts,93
Michigan,90
Minnesota,96
Mississippi,78
Missouri,88
Montana,98
Nebraska,90
Nevada,90
New Hampshire,92
New Jersey,78
New Mexico,91
New York,82
North Carolina,81
North Dakota,92
Ohio,85
Oklahoma,86
Oregon,67
Pennsylvania,100
Rhode Island,91
South Carolina,83
South Dakota,94
Tennessee,80
Texas,79
Utah,70
Vermont,98
Virginia,86
Washington,100
West Virginia,82
Wisconsin,90
Wyoming,89
