geoName,strength
Alabama,84
Alaska,80
Arizona,70
Arkansas,77
California,64
Colorado,79
Connecticut,76
Delaware,80
District of Columbia,65
Florida,68
Georgia,70
Hawaii,72
Idaho,81
Illinois,65
Indiana,85
Iowa,89
Kansas,73
Kentucky,76
Louisiana,73
Maine,67
Maryland,80
Massachusetts,76
Michigan,78
Minnesota,78
Mississippi,84
Missouri,78
Montana,82
Nebraska,76
Nevada,63
New Hampshire,82
New Jersey,70
New Mexico,79
New York,62
North Carolina,77
North Dakota,84
Ohio,83
Oklahoma,75
Oregon,55
Pennsylvania,77
Rhode Island,73
South Carolina,76
South Dakota,100
Tennessee,75
Texas,74
Utah,77
Vermont,66
Virginia,55
Washington,72
West Virginia,76
Wisconsin,77
Wyoming,78
