date,strength,isPartial
2014-01-05,87,False
2014-01-12,96,False
2014-01-19,95,False
2014-01-26,94,False
2014-02-02,92,False
2014-02-09,91,False
2014-02-16,95,False
2014-02-23,100,False
2014-03-02,98,False
2014-03-09,97,False
2014-03-16,96,False
2014-03-23,98,False
2014-03-30,96,False
2014-04-06,94,False
2014-04-13,90,False
2014-04-20,97,False
2014-04-27,95,False
2014-05-04,94,False
2014-05-11,89,False
2014-05-18,87,False
2014-05-25,87,False
2014-06-01,85,False
2014-06-08,88,False
2014-06-15,84,False
2014-06-22,85,False
2014-06-29,80,False
2014-07-06,86,False
2014-07-13,87,False
2014-07-20,90,False
2014-07-27,89,False
2014-08-03,95,False
2014-08-10,87,False
2014-08-17,89,False
2014-08-24,88,False
2014-08-31,88,False
2014-09-07,91,False
2014-09-14,93,False
2014-09-21,93,False
2014-09-28,92,False
2014-10-05,90,False
2014-10-12,88,False
2014-10-19,93,False
2014-10-26,88,False
2014-11-02,90,False
2014-11-09,92,False
2014-11-16,90,False
2014-11-23,81,False
2014-11-30,89,False
2014-12-07,93,False
2014-12-14,87,False
2014-12-21,72,False
2014-12-28,79,False
