geoName,strength
Alabama,91
Alaska,86
Arizona,83
Arkansas,91
California,75
Colorado,89
Connecticut,87
Delaware,94
District of Columbia,74
Florida,78
Georgia,78
Hawaii,85
Idaho,93
Illinois,78
Indiana,99
Iowa,92
Kansas,82
Kentucky,88
Louisiana,87
Maine,80
Maryland,89
Massachusetts,85
Michigan,89
Minnesota,86
Mississippi,93
Missouri,84
Montana,100
Nebraska,92
Nevada,79
New Hampshire,91
New Jersey,76
New Mexico,88
New York,72
North Carolina,87
North Dakota,90
Ohio,94
Oklahoma,91
Oregon,51
Pennsylvania,90
Rhode Island,87
South Carolina,87
South Dakota,89
Tennessee,86
Texas,84
Utah,95
Vermont,90
Virginia,67
Washington,82
West Virginia,93
Wisconsin,81
Wyoming,77
