date,strength,isPartial
2011-01-02,92,False
2011-01-09,86,False
2011-01-16,90,False
2011-01-23,95,False
2011-01-30,97,False
2011-02-06,93,False
2011-02-13,92,False
2011-02-20,94,False
2011-02-27,94,False
2011-03-06,99,False
2011-03-13,94,False
2011-03-20,99,False
2011-03-27,97,False
2011-04-03,91,False
2011-04-10,91,False
2011-04-17,98,False
2011-04-24,94,False
2011-05-01,97,False
2011-05-08,88,False
2011-05-15,88,False
2011-05-22,94,False
2011-05-29,88,False
2011-06-05,88,False
2011-06-12,85,False
2011-06-19,87,False
2011-06-26,87,False
2011-07-03,83,False
2011-07-10,85,False
2011-07-17,88,False
2011-07-24,91,False
2011-07-31,89,False
2011-08-07,90,False
2011-08-14,88,False
2011-08-21,97,False
2011-08-28,96,False
2011-09-04,93,False
2011-09-11,99,False
2011-09-18,93,False
2011-09-25,95,False
2011-10-02,96,False
2011-10-09,100,False
2011-10-16,92,False
2011-10-23,91,False
2011-10-30,93,False
2011-11-06,98,False
2011-11-13,94,False
2011-11-20,79,False
2011-11-27,92,False
2011-12-04,98,False
2011-12-11,87,False
2011-12-18,83,False
2011-12-25,78,False
