geoName,strength
Alabama,78
Alaska,74
Arizona,70
Arkansas,83
California,64
Colorado,76
Connecticut,70
Delaware,87
District of Columbia,58
Florida,64
Georgia,65
Hawaii,84
Idaho,77
Illinois,64
Indiana,85
Iowa,80
Kansas,82
Kentucky,71
Louisiana,75
Maine,67
Maryland,69
Massachusetts,70
Michigan,74
Minnesota,72
Mississippi,85
Missouri,70
Montana,78
Nebraska,73
Nevada,64
New Hampshire,71
New Jersey,69
New Mexico,72
New York,61
North Carolina,72
North Dakota,77
Ohio,81
Oklahoma,83
Oregon,69
Pennsylvania,77
Rhode Island,76
South Carolina,76
South Dakota,100
Tennessee,74
Texas,67
Utah,80
Vermont,61
Virginia,75
Washington,67
West Virginia,91
Wisconsin,76
Wyoming,88
