date,strength,isPartial
2016-01-03,88,False
2016-01-10,85,False
2016-01-17,89,False
2016-01-24,94,False
2016-01-31,94,False
2016-02-07,95,False
2016-02-14,94,False
2016-02-21,96,False
2016-02-28,95,False
2016-03-06,93,False
2016-03-13,91,False
2016-03-20,89,False
2016-03-27,91,False
2016-04-03,95,False
2016-04-10,100,False
2016-04-17,98,False
2016-04-24,97,False
2016-05-01,94,False
2016-05-08,93,False
2016-05-15,89,False
2016-05-22,84,False
2016-05-29,89,False
2016-06-05,85,False
2016-06-12,83,False
2016-06-19,81,False
2016-06-26,81,False
2016-07-03,77,False
2016-07-10,85,False
2016-07-17,83,False
2016-07-24,85,False
2016-07-31,83,False
2016-08-07,80,False
2016-08-14,77,False
2016-08-21,80,False
2016-08-28,86,False
2016-09-04,87,False
2016-09-11,89,False
2016-09-18,86,False
2016-09-25,89,False
2016-10-02,85,False
2016-10-09,84,False
2016-10-16,88,False
2016-10-23,82,False
2016-10-30,84,False
2016-11-06,81,False
2016-11-13,89,False
2016-11-20,75,False
2016-11-27,85,False
2016-12-04,94,False
2016-12-11,80,False
2016-12-18,75,False
2016-12-25,74,False
