geoName,strength
Alabama,97
Alaska,86
Arizona,80
Arkansas,85
California,74
Colorado,87
Connecticut,84
Delaware,85
District of Columbia,79
Florida,76
Georgia,82
Hawaii,88
Idaho,94
Illinois,76
Indiana,89
Iowa,91
Kansas,88
Kentucky,87
Louisiana,83
Maine,74
Maryland,83
Massachusetts,84
Michigan,87
Minnesota,86
Mississippi,92
Missouri,82
Montana,82
Nebraska,86
Nevada,68
New Hampshire,89
New Jersey,78
New Mexico,88
New York,74
North Carolina,85
North Dakota,100
Ohio,90
Oklahoma,89
Oregon,81
Pennsylvania,83
Rhode Island,88
South Carolina,82
South Dakota,91
Tennessee,83
Texas,81
Utah,82
Vermont,81
Virginia,89
Washington,79
West Virginia,93
Wisconsin,81
Wyoming,92
