date,strength,isPartial
2012-01-01,84,False
2012-01-08,88,False
2012-01-15,96,False
2012-01-22,100,False
2012-01-29,96,False
2012-02-05,97,False
2012-02-12,90,False
2012-02-19,97,False
2012-02-26,96,False
2012-03-04,96,False
2012-03-11,91,False
2012-03-18,90,False
2012-03-25,87,False
2012-04-01,92,False
2012-04-08,90,False
2012-04-15,97,False
2012-04-22,100,False
2012-04-29,94,False
2012-05-06,87,False
2012-05-13,90,False
2012-05-20,87,False
2012-05-27,87,False
2012-06-03,90,False
2012-06-10,83,False
2012-06-17,89,False
2012-06-24,83,False
2012-07-01,78,False
2012-07-08,87,False
2012-07-15,81,False
2012-07-22,84,False
2012-07-29,84,False
2012-08-05,84,False
2012-08-12,84,False
2012-08-19,87,False
2012-08-26,94,False
2012-09-02,88,False
2012-09-09,90,False
2012-09-16,93,False
2012-09-23,94,False
2012-09-30,91,False
2012-10-07,92,False
2012-10-14,89,False
2012-10-21,90,False
2012-10-28,93,False
2012-11-04,89,False
2012-11-11,93,False
2012-11-18,78,False
2012-11-25,92,False
2012-12-02,96,False
2012-12-09,88,False
2012-12-16,76,False
2012-12-23,71,False
2012-12-30,81,False
