geoName,strength
Alabama,91
Alaska,69
Arizona,72
Arkansas,86
California,63
Colorado,76
Connecticut,76
Delaware,81
District of Columbia,65
Florida,68
Georgia,70
Hawaii,75
Idaho,94
Illinois,69
Indiana,89
Iowa,80
Kansas,89
Kentucky,84
Louisiana,77
Maine,74
Maryland,73
Massachusetts,74
Michigan,82
Minnesota,74
Mississippi,83
Missouri,76
Montana,84
Nebraska,80
Nevada,67
New Hampshire,74
New Jersey,70
New Mexico,77
New York,62
North Carolina,79
North Dakota,90
Ohio,79
Oklahoma,87
Oregon,73
Pennsylvania,78
Rhode Island,74
South Carolina,85
South Dakota,89
Tennessee,81
Texas,72
Utah,78
Vermont,68
Virginia,81
Washington,71
West Virginia,79
Wisconsin,78
Wyoming,100
