geoName,confusion
Alabama,75
Alaska,29
Arizona,70
Arkansas,100
California,77
Colorado,71
Connecticut,89
Delaware,57
District of Columbia,74
Florida,68
Georgia,63
Hawaii,60
Idaho,75
Illinois,75
Indiana,79
Iowa,63
Kansas,64
Kentucky,78
Louisiana,58
Maine,90
Maryland,82
Massachusetts,73
Michigan,63
Minnesota,69
Mississippi,66
Missouri,70
Montana,59
Nebraska,58
Nevada,65
New Hampshire,58
New Jersey,73
New Mexico,80
New York,66
North Carolina,71
North Dakota,84
Ohio,76
Oklahoma,67
Oregon,58
Pennsylvania,76
Rhode Island,53
South Carolina,67
South Dakota,92
Tennessee,70
Texas,61
Utah,60
Vermont,72
Virginia,56
Washington,70
West Virginia,92
Wisconsin,76
Wyoming,40
