geoName,confusion
Alabama,50
Alaska,45
Arizona,50
Arkansas,69
California,57
Colorado,63
Connecticut,61
Delaware,62
District of Columbia,55
Florida,52
Georgia,54
Hawaii,56
Idaho,66
Illinois,73
Indiana,67
Iowa,60
Kansas,50
Kentucky,65
Louisiana,61
Maine,77
Maryland,60
Massachusetts,56
Michigan,69
Minnesota,62
Mississippi,77
Missouri,60
Montana,58
Nebraska,58
Nevada,71
New Hampshire,75
New Jersey,65
New Mexico,56
New York,53
North Carolina,59
North Dakota,100
Ohio,60
Oklahoma,39
Oregon,66
Pennsylvania,67
Rhode Island,69
South Carolina,64
South Dakota,66
Tennessee,57
Texas,51
Utah,62
Vermont,78
Virginia,67
Washington,60
West Virginia,57
Wisconsin,63
Wyoming,22
