geoName,confusion
Alabama,51
Alaska,47
Arizona,59
Arkansas,54
California,58
Colorado,54
Connecticut,58
Delaware,78
District of Columbia,60
Florida,53
Georgia,59
Hawaii,43
Idaho,51
Illinois,69
Indiana,71
Iowa,70
Kansas,59
Kentucky,60
Louisiana,62
Maine,68
Maryland,62
Massachusetts,64
Michigan,66
Minnesota,64
Mississippi,57
Missouri,56
Montana,80
Nebraska,44
Nevada,63
New Hampshire,67
New Jersey,58
New Mexico,58
New York,60
North Carolina,64
North Dakota,40
Ohio,63
Oklahoma,47
Oregon,60
Pennsylvania,67
Rhode Island,45
South Carolina,61
South Dakota,45
Tennessee,72
Texas,49
Utah,55
Vermont,100
Virginia,62
Washington,57
West Virginia,71
Wisconsin,58
Wyoming,64
